OBJECTID,DISTRICT,SCHOOLAREA,SHAPE_Length,SHAPE_Area,DISTRICTNAME
122,43-2,0.2555746,10691.4463874863,7124982.34639028,MONTROSE
123,43-2,0.24416908,10440.210443398,6807016.03114872,MONTROSE
124,43-2,0.11632066,7618.88421655995,3242820.97389798,MONTROSE
125,60-4,133.20436969,706586.066810876,3713509845.29867,PARKER
126,60-4,3.21503316,60431.5094248713,89629621.8247487,PARKER
127,60-4,0.74349998,21155.8242714694,20727507.0542077,PARKER
128,60-4,0.3661406,13078.7706210585,10207373.2572111,PARKER
129,60-4,0.24011448,13246.9681698781,6693980.84568825,PARKER
130,60-4,0.21780453,10770.7907516189,6072017.59623236,PARKER
131,39-1,140.39138386,520016.453537451,3913871499.73839,CHESTER
132,39-1,0.37274978,18533.9049859583,10391625.8749455,CHESTER
133,49-2,125.75691271,325023.043239308,3505377010.66276,BRANDON VALLEY
134,49-2,0.04137854,4383.02473914697,1208905.10248254,BRANDON VALLEY
135,61-2,80.55823249,338772.82447751,2245825645.0308,BERESFORD
136,41-1,182.62348322,817473.861902831,5091230148.88804,CANTON
137,41-1,4.82356977,95831.6429456508,134472869.529466,CANTON
138,41-4,1.01616425,34812.2378655789,28328920.0604943,LENNOX
139,41-4,186.28146881,914068.859789986,5192891381.79073,LENNOX
140,41-2,68.93213427,376096.442576862,1921383288.68886,HARRISBURG
141,41-4,3.23504215,44156.2749978359,62978937.9053788,LENNOX
144,41-5,19.47265853,219454.342441155,542850776.695629,TEA
154,49-7,164.98944267,661844.635299023,4599585612.87205,WEST CENTRAL
156,49-5,75.08383351,347676.459954913,2120965585.93671,SIOUX FALLS
157,41-5,0.00078777,1073.32864455485,21961.663191084,TEA
168,49-4,86.96294736,1436.92537248146,838.76412499528,GARRETSON
176,41-5,0.07704809,12701.8257029157,2147977.35607268,TEA
187,41-5,0.00382576,1341.7344338331,106656.037502249,TEA
188,41-5,0.00961583,2839.50226486342,268073.929679408,TEA
189,41-5,0.00325467,1277.92653948011,90735.0435798174,TEA
190,41-5,0.00900336,2690.57305667774,250999.393145382,TEA
240,49-5,75.08383351,504.47222845756,32.4749558660491,SIOUX FALLS
